Vardas                                  Pavarde                                 ND0                 ND1                 ND2                 ND3                 ND4                 ND5                 ND6                 Egz       
Vardas3461                              Pavarde3461                             8                   4                   0                   2                   8                   2                   5                   4                   
Vardas3462                              Pavarde3462                             9                   9                   1                   8                   7                   8                   7                   3                   
Vardas3463                              Pavarde3463                             3                   4                   3                   9                   8                   8                   4                   3                   
Vardas3464                              Pavarde3464                             0                   5                   6                   4                   0                   1                   4                   1                   
Vardas3465                              Pavarde3465                             0                   8                   2                   4                   2                   7                   4                   2                   
Vardas3466                              Pavarde3466                             4                   9                   3                   1                   3                   2                   6                   8                   
Vardas3467                              Pavarde3467                             2                   5                   0                   3                   7                   5                   1                   0                   
Vardas3468                              Pavarde3468                             2                   2                   7                   7                   9                   3                   8                   4                   
Vardas3469                              Pavarde3469                             4                   7                   9                   5                   1                   4                   3                   4                   
Vardas3470                              Pavarde3470                             6                   8                   9                   1                   3                   4                   3                   7                   
Vardas3471                              Pavarde3471                             5                   7                   7                   1                   6                   1                   6                   1                   
Vardas3472                              Pavarde3472                             6                   0                   7                   9                   0                   3                   6                   4                   
Vardas3473                              Pavarde3473                             3                   8                   5                   4                   3                   6                   2                   3                   
Vardas3474                              Pavarde3474                             6                   5                   1                   2                   1                   7                   8                   1                   
Vardas3475                              Pavarde3475                             6                   8                   1                   3                   9                   8                   4                   2                   
Vardas3476                              Pavarde3476                             3                   3                   4                   8                   1                   7                   9                   1                   
Vardas3477                              Pavarde3477                             3                   4                   3                   6                   1                   9                   3                   1                   
Vardas3478                              Pavarde3478                             3                   0                   3                   6                   7                   1                   3                   8                   
Vardas3479                              Pavarde3479                             0                   4                   1                   8                   9                   3                   1                   2                   
Vardas3480                              Pavarde3480                             5                   9                   5                   5                   1                   1                   4                   8                   
Vardas3481                              Pavarde3481                             3                   5                   0                   0                   2                   0                   9                   9                   
Vardas3482                              Pavarde3482                             1                   3                   0                   6                   5                   2                   8                   4                   
Vardas3483                              Pavarde3483                             5                   5                   5                   9                   3                   7                   2                   2                   
Vardas3484                              Pavarde3484                             2                   0                   3                   8                   9                   7                   8                   8                   
Vardas3485                              Pavarde3485                             7                   9                   4                   1                   0                   0                   4                   7                   
Vardas3486                              Pavarde3486                             0                   3                   1                   9                   4                   5                   9                   0                   
Vardas3487                              Pavarde3487                             4                   8                   7                   7                   8                   6                   9                   4                   
Vardas3488                              Pavarde3488                             3                   8                   0                   7                   9                   7                   1                   9                   
Vardas3489                              Pavarde3489                             1                   7                   1                   8                   4                   6                   2                   9                   
Vardas3490                              Pavarde3490                             2                   8                   0                   3                   8                   2                   9                   1                   
Vardas3491                              Pavarde3491                             6                   8                   1                   9                   7                   5                   3                   7                   
Vardas3492                              Pavarde3492                             2                   8                   8                   7                   0                   2                   6                   8                   
Vardas3493                              Pavarde3493                             2                   6                   8                   1                   8                   5                   7                   8                   
Vardas3494                              Pavarde3494                             4                   0                   5                   2                   3                   2                   5                   9                   
Vardas3495                              Pavarde3495                             7                   3                   8                   3                   0                   0                   3                   0                   
Vardas3496                              Pavarde3496                             0                   1                   1                   8                   8                   3                   6                   1                   
Vardas3497                              Pavarde3497                             0                   1                   0                   6                   1                   0                   1                   7                   
Vardas3498                              Pavarde3498                             1                   4                   6                   1                   4                   8                   1                   0                   
Vardas3499                              Pavarde3499                             0                   0                   5                   9                   3                   3                   5                   4                   
Vardas3500                              Pavarde3500                             6                   9                   5                   0                   8                   6                   9                   2                   
Vardas3501                              Pavarde3501                             4                   7                   4                   8                   3                   1                   7                   7                   
Vardas3502                              Pavarde3502                             2                   8                   8                   9                   0                   4                   4                   5                   
Vardas3503                              Pavarde3503                             8                   4                   0                   3                   8                   4                   4                   8                   
Vardas3504                              Pavarde3504                             1                   0                   8                   0                   2                   8                   1                   8                   
Vardas3505                              Pavarde3505                             1                   7                   2                   0                   1                   1                   1                   7                   
Vardas3506                              Pavarde3506                             4                   9                   0                   6                   0                   2                   3                   6                   
Vardas3507                              Pavarde3507                             5                   6                   8                   0                   6                   5                   6                   8                   
Vardas3508                              Pavarde3508                             0                   4                   9                   3                   1                   3                   4                   0                   
Vardas3509                              Pavarde3509                             1                   5                   6                   4                   8                   0                   0                   1                   
Vardas3510                              Pavarde3510                             0                   7                   7                   7                   7                   1                   1                   2                   
Vardas3511                              Pavarde3511                             4                   4                   5                   4                   0                   9                   4                   9                   
Vardas3512                              Pavarde3512                             8                   3                   0                   2                   8                   8                   4                   0                   
Vardas3513                              Pavarde3513                             2                   1                   9                   3                   9                   3                   5                   2                   
Vardas3514                              Pavarde3514                             6                   0                   7                   5                   9                   4                   1                   7                   
Vardas3515                              Pavarde3515                             5                   3                   9                   5                   5                   5                   8                   7                   
Vardas3516                              Pavarde3516                             3                   5                   5                   7                   6                   8                   7                   2                   
Vardas3517                              Pavarde3517                             8                   3                   2                   9                   8                   0                   6                   3                   
Vardas3518                              Pavarde3518                             4                   4                   2                   4                   6                   7                   0                   2                   
Vardas3519                              Pavarde3519                             9                   8                   7                   9                   1                   1                   9                   4                   
Vardas3520                              Pavarde3520                             3                   2                   8                   9                   5                   1                   1                   4                   
Vardas3521                              Pavarde3521                             6                   4                   5                   8                   3                   2                   9                   4                   
Vardas3522                              Pavarde3522                             6                   2                   9                   3                   6                   6                   1                   5                   
Vardas3523                              Pavarde3523                             6                   8                   9                   0                   8                   1                   7                   7                   
Vardas3524                              Pavarde3524                             9                   7                   7                   2                   3                   0                   6                   4                   
Vardas3525                              Pavarde3525                             3                   8                   1                   0                   0                   2                   5                   5                   
Vardas3526                              Pavarde3526                             1                   9                   4                   1                   9                   6                   1                   1                   
Vardas3527                              Pavarde3527                             9                   8                   1                   7                   8                   4                   2                   8                   
Vardas3528                              Pavarde3528                             7                   5                   7                   4                   9                   7                   2                   4                   
Vardas3529                              Pavarde3529                             4                   8                   6                   3                   9                   6                   3                   0                   
Vardas3530                              Pavarde3530                             7                   4                   5                   7                   6                   6                   2                   1                   
Vardas3531                              Pavarde3531                             4                   5                   8                   6                   5                   0                   7                   2                   
Vardas3532                              Pavarde3532                             4                   1                   6                   2                   8                   1                   0                   8                   
Vardas3533                              Pavarde3533                             7                   9                   6                   5                   0                   8                   9                   9                   
Vardas3534                              Pavarde3534                             8                   9                   8                   7                   8                   5                   3                   6                   
Vardas3535                              Pavarde3535                             0                   3                   5                   9                   8                   6                   2                   2                   
Vardas3536                              Pavarde3536                             2                   8                   8                   1                   4                   1                   4                   0                   
Vardas3537                              Pavarde3537                             8                   2                   3                   9                   4                   7                   5                   5                   
Vardas3538                              Pavarde3538                             1                   9                   3                   2                   5                   8                   2                   1                   
Vardas3539                              Pavarde3539                             6                   7                   9                   8                   8                   8                   0                   7                   
Vardas3540                              Pavarde3540                             2                   1                   1                   4                   0                   3                   1                   9                   
Vardas3541                              Pavarde3541                             9                   9                   5                   5                   9                   6                   0                   8                   
Vardas3542                              Pavarde3542                             7                   8                   2                   3                   0                   6                   9                   6                   
Vardas3543                              Pavarde3543                             9                   1                   3                   3                   4                   3                   5                   0                   
Vardas3544                              Pavarde3544                             3                   2                   5                   3                   6                   9                   7                   2                   
Vardas3545                              Pavarde3545                             0                   0                   4                   5                   9                   1                   5                   7                   
Vardas3546                              Pavarde3546                             1                   2                   1                   1                   0                   6                   8                   8                   
Vardas3547                              Pavarde3547                             6                   9                   2                   6                   8                   8                   0                   4                   
Vardas3548                              Pavarde3548                             9                   6                   5                   0                   9                   6                   3                   1                   
Vardas3549                              Pavarde3549                             8                   2                   8                   4                   8                   7                   3                   5                   
Vardas3550                              Pavarde3550                             1                   7                   1                   3                   0                   6                   2                   4                   
Vardas3551                              Pavarde3551                             2                   6                   5                   4                   4                   4                   0                   7                   
Vardas3552                              Pavarde3552                             7                   8                   5                   5                   2                   8                   6                   8                   
Vardas3553                              Pavarde3553                             7                   3                   8                   6                   7                   8                   0                   0                   
Vardas3554                              Pavarde3554                             2                   6                   8                   3                   0                   4                   2                   7                   
Vardas3555                              Pavarde3555                             5                   1                   4                   9                   9                   4                   8                   9                   
Vardas3556                              Pavarde3556                             8                   9                   2                   6                   9                   9                   3                   0                   
Vardas3557                              Pavarde3557                             3                   7                   4                   8                   8                   9                   5                   6                   
Vardas3558                              Pavarde3558                             5                   6                   3                   3                   1                   9                   0                   0                   
Vardas3559                              Pavarde3559                             9                   0                   8                   7                   9                   2                   3                   4                   
Vardas3560                              Pavarde3560                             3                   1                   9                   5                   4                   2                   5                   5                   
Vardas3561                              Pavarde3561                             2                   8                   4                   7                   9                   9                   7                   2                   
Vardas3562                              Pavarde3562                             5                   0                   2                   9                   9                   7                   9                   6                   
Vardas3563                              Pavarde3563                             7                   4                   9                   9                   3                   4                   6                   7                   
Vardas3564                              Pavarde3564                             8                   4                   8                   7                   0                   2                   4                   3                   
Vardas3565                              Pavarde3565                             4                   5                   0                   0                   6                   6                   1                   2                   
Vardas3566                              Pavarde3566                             2                   0                   4                   2                   2                   1                   7                   5                   
Vardas3567                              Pavarde3567                             8                   8                   2                   7                   0                   8                   9                   6                   
Vardas3568                              Pavarde3568                             7                   2                   9                   5                   9                   2                   1                   4                   
Vardas3569                              Pavarde3569                             4                   4                   4                   5                   9                   7                   2                   1                   
Vardas3570                              Pavarde3570                             7                   7                   9                   9                   2                   4                   1                   9                   
Vardas3571                              Pavarde3571                             0                   8                   2                   4                   3                   5                   4                   3                   
Vardas3572                              Pavarde3572                             4                   1                   5                   9                   1                   7                   5                   3                   
Vardas3573                              Pavarde3573                             7                   1                   9                   3                   7                   6                   8                   2                   
Vardas3574                              Pavarde3574                             7                   8                   9                   6                   1                   9                   7                   1                   
Vardas3575                              Pavarde3575                             3                   2                   6                   2                   5                   3                   5                   7                   
Vardas3576                              Pavarde3576                             4                   7                   7                   8                   4                   6                   7                   3                   
Vardas3577                              Pavarde3577                             0                   6                   5                   6                   9                   7                   2                   2                   
Vardas3578                              Pavarde3578                             8                   0                   9                   3                   8                   2                   1                   1                   
Vardas3579                              Pavarde3579                             7                   2                   3                   5                   0                   6                   7                   3                   
Vardas3580                              Pavarde3580                             4                   0                   8                   0                   2                   5                   6                   2                   
Vardas3581                              Pavarde3581                             9                   4                   3                   6                   1                   6                   9                   9                   
Vardas3582                              Pavarde3582                             3                   3                   9                   2                   9                   5                   7                   2                   
Vardas3583                              Pavarde3583                             2                   9                   6                   4                   2                   7                   0                   3                   
Vardas3584                              Pavarde3584                             6                   5                   9                   0                   7                   7                   2                   1                   
Vardas3585                              Pavarde3585                             1                   2                   7                   6                   9                   7                   4                   9                   
Vardas3586                              Pavarde3586                             3                   5                   0                   0                   3                   3                   7                   3                   
Vardas3587                              Pavarde3587                             2                   4                   7                   7                   1                   1                   1                   5                   
Vardas3588                              Pavarde3588                             2                   2                   4                   6                   1                   7                   7                   0                   
Vardas3589                              Pavarde3589                             6                   3                   7                   8                   1                   2                   7                   2                   
Vardas3590                              Pavarde3590                             7                   3                   5                   4                   9                   7                   9                   3                   
Vardas3591                              Pavarde3591                             3                   4                   0                   3                   0                   7                   6                   2                   
Vardas3592                              Pavarde3592                             6                   3                   1                   3                   3                   5                   1                   3                   
Vardas3593                              Pavarde3593                             8                   0                   2                   0                   3                   3                   2                   7                   
Vardas3594                              Pavarde3594                             6                   8                   1                   5                   1                   4                   8                   7                   
Vardas3595                              Pavarde3595                             5                   0                   9                   0                   2                   3                   2                   9                   
Vardas3596                              Pavarde3596                             3                   0                   3                   6                   2                   2                   2                   5                   
Vardas3597                              Pavarde3597                             4                   8                   8                   5                   9                   3                   7                   9                   
Vardas3598                              Pavarde3598                             2                   4                   0                   1                   0                   7                   0                   0                   
Vardas3599                              Pavarde3599                             2                   2                   5                   3                   3                   1                   3                   0                   
Vardas3600                              Pavarde3600                             0                   1                   0                   6                   6                   3                   9                   8                   
Vardas3601                              Pavarde3601                             1                   2                   8                   1                   7                   5                   7                   5                   
Vardas3602                              Pavarde3602                             4                   7                   5                   6                   5                   2                   0                   1                   
Vardas3603                              Pavarde3603                             9                   1                   0                   3                   3                   8                   5                   8                   
Vardas3604                              Pavarde3604                             1                   8                   5                   4                   7                   0                   2                   4                   
Vardas3605                              Pavarde3605                             7                   1                   4                   9                   2                   7                   2                   2                   
Vardas3606                              Pavarde3606                             4                   0                   4                   8                   0                   8                   6                   3                   
Vardas3607                              Pavarde3607                             9                   0                   3                   0                   0                   6                   9                   0                   
Vardas3608                              Pavarde3608                             1                   7                   3                   2                   8                   8                   9                   3                   
Vardas3609                              Pavarde3609                             8                   3                   0                   5                   1                   7                   0                   7                   
Vardas3610                              Pavarde3610                             8                   5                   1                   6                   8                   0                   6                   1                   
Vardas3611                              Pavarde3611                             7                   1                   3                   2                   4                   2                   1                   4                   
Vardas3612                              Pavarde3612                             9                   2                   7                   4                   8                   1                   3                   7                   
Vardas3613                              Pavarde3613                             5                   3                   3                   1                   3                   8                   5                   3                   
Vardas3614                              Pavarde3614                             2                   7                   5                   5                   3                   0                   5                   7                   
Vardas3615                              Pavarde3615                             3                   7                   0                   3                   0                   6                   6                   1                   
Vardas3616                              Pavarde3616                             2                   0                   8                   4                   2                   8                   9                   5                   
Vardas3617                              Pavarde3617                             4                   7                   0                   7                   6                   5                   8                   1                   
Vardas3618                              Pavarde3618                             1                   8                   7                   4                   1                   6                   9                   2                   
Vardas3619                              Pavarde3619                             0                   1                   6                   6                   7                   0                   4                   6                   
Vardas3620                              Pavarde3620                             4                   1                   4                   3                   4                   4                   0                   0                   
Vardas3621                              Pavarde3621                             0                   3                   4                   4                   9                   5                   3                   1                   
Vardas3622                              Pavarde3622                             3                   2                   8                   1                   7                   6                   2                   9                   
Vardas3623                              Pavarde3623                             1                   8                   6                   1                   8                   5                   9                   5                   
Vardas3624                              Pavarde3624                             7                   5                   4                   4                   0                   7                   3                   4                   
Vardas3625                              Pavarde3625                             1                   6                   8                   0                   3                   6                   7                   8                   
Vardas3626                              Pavarde3626                             9                   0                   6                   7                   5                   3                   3                   9                   
Vardas3627                              Pavarde3627                             8                   8                   6                   4                   9                   6                   4                   7                   
Vardas3628                              Pavarde3628                             3                   3                   0                   5                   2                   3                   6                   8                   
Vardas3629                              Pavarde3629                             1                   4                   6                   0                   9                   0                   9                   3                   
Vardas3630                              Pavarde3630                             0                   6                   9                   4                   0                   5                   3                   0                   
Vardas3631                              Pavarde3631                             6                   4                   2                   0                   3                   4                   9                   4                   
Vardas3632                              Pavarde3632                             7                   9                   2                   1                   2                   1                   7                   8                   
Vardas3633                              Pavarde3633                             8                   7                   3                   6                   5                   6                   3                   5                   
Vardas3634                              Pavarde3634                             1                   2                   4                   6                   7                   2                   9                   0                   
Vardas3635                              Pavarde3635                             1                   3                   7                   2                   6                   9                   2                   8                   
Vardas3636                              Pavarde3636                             3                   2                   7                   4                   0                   3                   1                   0                   
Vardas3637                              Pavarde3637                             4                   6                   4                   1                   2                   5                   9                   5                   
Vardas3638                              Pavarde3638                             3                   1                   8                   7                   3                   5                   2                   7                   
Vardas3639                              Pavarde3639                             7                   7                   1                   1                   2                   5                   9                   3                   
Vardas3640                              Pavarde3640                             2                   0                   8                   8                   8                   1                   6                   5                   
Vardas3641                              Pavarde3641                             1                   2                   2                   8                   1                   4                   0                   8                   
Vardas3642                              Pavarde3642                             7                   2                   7                   9                   5                   1                   2                   9                   
Vardas3643                              Pavarde3643                             3                   5                   5                   5                   9                   4                   7                   2                   
Vardas3644                              Pavarde3644                             0                   9                   8                   4                   3                   1                   5                   2                   
Vardas3645                              Pavarde3645                             3                   1                   3                   0                   8                   2                   4                   5                   
Vardas3646                              Pavarde3646                             3                   5                   4                   7                   9                   2                   7                   2                   
Vardas3647                              Pavarde3647                             8                   9                   9                   1                   4                   5                   2                   1                   
